question,all_answers,dummy_pool
discharge,放出する,"取ってくる, 傑作, ～を無視する"
condemn,非難する,"お世辞を言う, 暴動, ～を忘れる"
retrieve,検索する,"散文, 車両, ～を避ける"
shrug,肩をすくめる,"織物, 装置, ～を無視する"
evoke,呼び起こす,"材木, 大騒ぎ, ～を忘れる"
fetch,取ってくる,"傑作, 欠乏, ～を避ける"
flatter,お世辞を言う,"暴動, 相続人, ～を無視する"
prose,散文,"車両, 赤道, ～を忘れる"
textile,織物,"装置, 石油, ～を避ける"
timber,材木,"大騒ぎ, 魔女, ～を無視する"
masterpiece,傑作,"欠乏, 蒸気, ～を忘れる"
riot,暴動,"相続人, 探査機, ～を避ける"
carriage,車両,"赤道, 専門知識, ～を無視する"
apparatus,装置,"石油, 軽蔑, ～を忘れる"
fuss,大騒ぎ,"魔女, 預言者, ～を避ける"
deficiency,欠乏,"蒸気, そよ風, ～を無視する"
heir,相続人,"探査機, 罪, ～を忘れる"
equator,赤道,"専門知識, 急増, ～を避ける"
petroleum,石油,"軽蔑, 補うもの, ～を無視する"
witch,魔女,"預言者, 列, ～を忘れる"
vapor,蒸気,"そよ風, 賭け金, ～を避ける"
probe,探査機,"罪, 大使, ～を無視する"
expertise,専門知識,"急増, 陪審員, ～を忘れる"
scorn,軽蔑,"補うもの, 集団, ～を避ける"
prophet,預言者,"列, こぶ, ～を無視する"
breeze,そよ風,"賭け金, 牧草地, ～を忘れる"
sin,罪,"大使, 偉業, ～を避ける"
surge,急増,"陪審員, 気質, ～を無視する"
complement,補うもの,"集団, 寒気, ～を忘れる"
queue,列,"こぶ, 器具, ～を避ける"
stake,賭け金,"牧草地, 前任者, ～を無視する"
ambassador,大使,"偉業, 存在, ～を忘れる"
jury,陪審員,"気質, もてなし, ～を避ける"
cluster,集団,"寒気, 話, ～を無視する"
lump,こぶ,"器具, 部分、区分, ～を忘れる"
meadow,牧草地,"前任者, 大災害, ～を避ける"
feat,偉業,"存在, 君主、皇帝, ～を無視する"
temperament,気質,"もてなし, 制約, ～を忘れる"
chill,寒気,"話, 改正、修正, ～を避ける"
appliance,器具,"部分、区分, 宇宙, ～を無視する"
predecessor,前任者,"大災害, 通路, ～を忘れる"
entity,存在,"君主、皇帝, 階級制度, ～を避ける"
hospitality,もてなし,"制約, 通行料, ～を無視する"
narrative,話,"改正、修正, 取引, ～を忘れる"
segment,部分、区分,"宇宙, 強盗, ～を避ける"
catastrophe,大災害,"通路, 圧政, ～を無視する"
monarch,君主、皇帝,"階級制度, 寄生生物, ～を忘れる"
constraint,制約,"通行料, 直感, ～を避ける"
amendment,改正、修正,"取引, 共産主義の, ～を無視する"
cosmos,宇宙,"強盗, 遺産, ～を忘れる"
aisle,通路,"圧政, 静脈, ～を避ける"
hierarchy,階級制度,"寄生生物, 論説, ～を無視する"
toll,通行料,"直感, 乳製品、酪農, ～を忘れる"
transaction,取引,"共産主義の, 工芸品, ～を避ける"
burglar,強盗,"遺産, はけ口, ～を無視する"
tyranny,圧政,"静脈, 不安, ～を忘れる"
parasite,寄生生物,"論説, 憂うつ, ～を避ける"
intuition,直感,"乳製品、酪農, 目新しさ, ～を無視する"
communist,共産主義の,"工芸品, 標本, ～を忘れる"
legacy,遺産,"はけ口, 衛生, ～を避ける"
vein,静脈,"不安, 戦術, ～を無視する"
discourse,論説,"憂うつ, 独占, ～を忘れる"
dairy,乳製品、酪農,"目新しさ, 印, ～を避ける"
artifact,工芸品,"標本, 貴族階級, ～を無視する"
outlet,はけ口,"衛生, 復讐, ～を忘れる"
apprehension,不安,"戦術, 活動家, ～を避ける"
melancholy,憂うつ,"独占, 美辞麗句, ～を無視する"
novelty,目新しさ,"印, 起業家, ～を忘れる"
specimen,標本,"貴族階級, 国勢調査, ～を避ける"
hygiene,衛生,"復讐, 瀬戸際, ～を無視する"
tactics,戦術,"活動家, 出現、到来, ～を忘れる"
monopoly,独占,"美辞麗句, 類似点, ～を避ける"
token,印,"起業家, 灌漑, ～を無視する"
aristocracy,貴族階級,"国勢調査, 報道, ～を忘れる"
revenge,復讐,"瀬戸際, 料理, ～を避ける"
activist,活動家,"出現、到来, 脅威, ～を無視する"
rhetoric,美辞麗句,"類似点, 危険, ～を忘れる"
entrepreneur,起業家,"灌漑, 手足, ～を避ける"
census,国勢調査,"報道, 攻撃, ～を無視する"
verge,瀬戸際,"料理, 憎しみ, ～を忘れる"
advent,出現、到来,"脅威, 自主性, ～を避ける"
analogy,類似点,"危険, 塾, ～を無視する"
irrigation,灌漑,"手足, 補助金, ～を忘れる"
coverage,報道,"攻撃, 共感, ～を避ける"
cuisine,料理,"憎しみ, 俗語, ～を無視する"
menace,脅威,"自主性, 姿勢, ～を忘れる"
peril,危険,"塾, イデオロギー, ～を避ける"
limb,手足,"補助金, 災いのもと, ～を無視する"
assault,攻撃,"共感, 腫瘍, ～を忘れる"
hatred,憎しみ,"俗語, 交差点, ～を避ける"
autonomy,自主性,"姿勢, 期間, ～を無視する"
cram,塾,"イデオロギー, 森林破壊, ～を忘れる"
subsidy,補助金,"災いのもと, 用心, ～を避ける"
empathy,共感,"腫瘍, ひとたばの, ～を無視する"
slang,俗語,"交差点, 欠点, ～を忘れる"
posture,姿勢,"期間, 熱望, ～を避ける"
Ideology,イデオロギー,"森林破壊, 精神科医, ～を無視する"
curse,災いのもと,"用心, 発送, ～を忘れる"
tumor,腫瘍,"ひとたばの, 上院議員, ～を避ける"
intersection,交差点,"欠点, 政治家, ～を無視する"
duration,期間,"熱望, 部下, ～を忘れる"
deforestation,森林破壊,"精神科医, 空白, ～を避ける"
precaution,用心,"発送, 探究, ～を無視する"
bunch,ひとたばの,"上院議員, 瞑想, ～を忘れる"
shortcoming,欠点,"政治家, 加入者, ～を避ける"
aspiration,熱望,"部下, 謎, ～を無視する"
psychiatrist,精神科医,"空白, ぼろ, ～を忘れる"
shipping,発送,"探究, さび, ～を避ける"
senator,上院議員,"瞑想, 衛生, ～を無視する"
statesman,政治家,"加入者, まっただ中, ～を忘れる"
subordinate,部下,"謎, いたずら, ～を避ける"
vacuum,空白,"ぼろ, 検定, ～を無視する"
quest,探究,"さび, 記憶, ～を忘れる"
meditation,瞑想,"衛生, 緯, ～を避ける"
subscriber,加入者,"まっただ中, 摩擦, ～を無視する"
riddle,謎,"いたずら, 植物学者, ～を忘れる"
rag,ぼろ,"検定, 遺伝, ～を避ける"
rust,さび,"記憶, 軽蔑, ～を無視する"
sanitation,衛生,"緯, 構造, ～を忘れる"
midst,まっただ中,"摩擦, 誠実, ～を避ける"
mischief,いたずら,"植物学者, 貨物, ～を無視する"
proficiency,検定,"遺伝, わいろ, ～を忘れる"
recollection,記憶,"軽蔑, 噴火, ～を避ける"
latitude,緯,"構造, 葬式, ～を無視する"
friction,摩擦,"誠実, 赤字, ～を忘れる"
botanist,植物学者,"貨物, 大部分, ～を避ける"
heredity,遺伝,"わいろ, 百万長者, ～を無視する"
contempt,軽蔑,"噴火, 灰, ～を忘れる"
anatomy,構造,"葬式, 領域, ～を避ける"
integrity,誠実,"赤字, 農園, ～を無視する"
cargo,貨物,"大部分, すき, ～を忘れる"
bribe,わいろ,"百万長者, 販売, ～を避ける"
eruption,噴火,"灰, 孤児, ～を無視する"
funeral,葬式,"領域, 神経細胞, ～を忘れる"
deficit,赤字,"農園, 植生, ～を避ける"
bulk,大部分,"すき, 戦士, ～を無視する"
millionaire,百万長者,"販売, 突然変異, ～を忘れる"
ash,灰,"孤児, 下水, ～を避ける"
realm,領域,"神経細胞, 理論的枠組, ～を無視する"
plantation,農園,"植生, 議定書, ～を忘れる"
plow,すき,"戦士, 高層ビル, ～を避ける"
vending,販売,"突然変異, 一致, ～を無視する"
orphan,孤児,"下水, 官僚, ～を忘れる"
neuron,神経細胞,"理論的枠組, 多彩, ～を避ける"
vegetation,植生,"議定書, 衝突, ～を無視する"
warrior,戦士,"高層ビル, 拷問, ～を忘れる"
mutation,突然変異,"一致, 統治, ～を避ける"
sewage,下水,"官僚, 論文, ～を無視する"
paradigm,理論的枠組,"多彩, 桁, ～を忘れる"
protocol,議定書,"衝突, 課題, ～を避ける"
skyscraper,高層ビル,"拷問, 発症, ～を無視する"
accord,一致,"統治, 小作農, ～を忘れる"
bureaucrat,官僚,"論文, 紫外, ～を避ける"
array,多彩,"桁, 有名な, ～を無視する"
clash,衝突,"課題, 透き通った, ～を忘れる"
torture,拷問,"発症, 薄暗い, ～を避ける"
reign,統治,"小作農, 正当な, ～を無視する"
thesis,論文,"紫外, 悪, ～を忘れる"
digit,桁,"有名な, すばやい, ～を避ける"
agenda,課題,"透き通った, 世間知らずの, ～を無視する"
onset,発症,"薄暗い, ばか, ～を忘れる"
peasant,小作農,"正当な, 暗い, ～を避ける"
ultraviolet,紫外,"悪, 激怒した, ～を無視する"
renowned,有名な,"すばやい, まじめな, ～を忘れる"
transparent,透き通った,"世間知らずの, すばらしい, ～を避ける"
dim,薄暗い,"ばか, 垂直な, ～を無視する"
legitimate,正当な,"暗い, 邪悪な, ～を忘れる"
adverse,悪,"激怒した, 主観的な, ～を避ける"
swift,すばやい,"まじめな, 進んだ考えの, ～を無視する"
naive,世間知らずの,"すばらしい, 本物の, ～を忘れる"
dumb,ばか,"垂直な, 残忍な, ～を避ける"
gloomy,暗い,"邪悪な, めまい, ～を無視する"
furious,激怒した,"主観的な, まったくの, ～を忘れる"
earnest,まじめな,"進んだ考えの, いたずらな, ～を避ける"
terrific,すばらしい,"本物の, 湿った, ～を無視する"
vertical,垂直な,"残忍な, 静的な, ～を忘れる"
wicked,邪悪な,"めまい, 運命にある, ～を避ける"
subjective,主観的な,"まったくの, 呼吸器に関する、呼吸の, ～を無視する"
enlightened,進んだ考えの,"いたずらな, 無数の, ～を忘れる"
authentic,本物の,"湿った, 不器用な, ～を避ける"
brutal,残忍な,"静的な, 美的, ～を無視する"
dizzy,めまい,"運命にある, とりつかれている, ～を忘れる"
sheer,まったくの,"呼吸器に関する、呼吸の, 切り離された, ～を避ける"
naughty,いたずらな,"無数の, 難破した, ～を無視する"
damp,湿った,"不器用な, 無謀な, ～を忘れる"
static,静的な,"美的, 傲慢な, ～を避ける"
doomed,運命にある,"とりつかれている, 頭がいっぱいだ, ～を無視する"
respiratory,呼吸器に関する、呼吸の,"切り離された, 巨大な, ～を忘れる"
innumerable,無数の,"難破した, 顕著な, ～を避ける"
clumsy,不器用な,"無謀な, すらりとした, ～を無視する"
aesthetic,美的,"傲慢な, 明らかな, ～を忘れる"
obsessed,とりつかれている,"頭がいっぱいだ, きちんと, ～を避ける"
detached,切り離された,"巨大な, 懐疑的な, ～を無視する"
wrecked,難破した,"顕著な, 悪名高い, ～を忘れる"
reckless,無謀な,"すらりとした, 匿名の, ～を避ける"
arrogant,傲慢な,"明らかな, 単調な, ～を無視する"
preoccupied,頭がいっぱいだ,"きちんと, 豊富に, ～を忘れる"
gigantic,巨大な,"懐疑的な, こぎれいな, ～を避ける"
conspicuous,顕著な,"悪名高い, 野蛮な, ～を無視する"
slender,すらりとした,"匿名の, 一貫した, ～を忘れる"
manifest,明らかな,"単調な, 雄弁な, ～を避ける"
tidy,きちんと,"豊富に, 不快な, ～を無視する"
skeptical,懐疑的な,"こぎれいな, 青少年の, ～を忘れる"
notorious,悪名高い,"野蛮な, 義務的な, ～を避ける"
anonymous,匿名の,"一貫した, やすい, ～を無視する"
monotonous,単調な,"雄弁な, 勝手な, ～を忘れる"
ample,豊富に,"不快な, 独創的な, ～を避ける"
trim,こぎれいな,"青少年の, 神聖なる, ～を無視する"
savage,野蛮な,"義務的な, やさしい, ～を忘れる"
coherent,一貫した,"やすい, 憤慨している, ～を避ける"
eloquent,雄弁な,"勝手な, 本来の, ～を無視する"
foul,不快な,"独創的な, 麻痺している, ～を忘れる"
juvenile,青少年の,"神聖なる, 適合する, ～を避ける"
compulsory,義務的な,"やさしい, 愛国的な, ～を無視する"
prone,やすい,"憤慨している, 名高い, ～を忘れる"
arbitrary,勝手な,"本来の, 強力な, ～を避ける"
ingenious,独創的な,"麻痺している, 正気を失っている, ～を無視する"
divine,神聖なる,"適合する, 主要な, ～を忘れる"
tender,やさしい,"愛国的な, 間接, ～を避ける"
outraged,憤慨している,"名高い, 先住, ～を無視する"
intrinsic,本来の,"強力な, 最も, ～を忘れる"
paralyzed,麻痺している,"正気を失っている, 不可欠な, ～を避ける"
compatible,適合する,"主要な, 複雑な, ～を無視する"
patriotic,愛国的な,"間接, 人口統計の, ～を忘れる"
eminent,名高い,"先住, 強力な, ～を避ける"
potent,強力な,"最も, 無傷の, ～を無視する"
insane,正気を失っている,"不可欠な, 決意をしている, ～を忘れる"
staple,主要な,"複雑な, 興味深い, ～を避ける"
secondhand,間接,"人口統計の, 陽気な, ～を無視する"
indigenous,先住,"強力な, 永続する, ～を忘れる"
utmost,最も,"無傷の, 脊椎の, ～を避ける"
integral,不可欠な,"決意をしている, かかりやすい, ～を無視する"
intricate,複雑な,"興味深い, 義務的な, ～を忘れる"
demographics,人口統計の,"陽気な, まっすぐに, ～を避ける"
mighty,強力な,"永続する, 不意に, ～を無視する"
intact,無傷の,"脊椎の, 逆に, ～を忘れる"
intent,決意をしている,"かかりやすい, 主に, ～を避ける"
intriguing,興味深い,"義務的な, ～しないように, ～を無視する"
merry,陽気な,"まっすぐに, 間接, ～を忘れる"
perpetual,永続する,"不意に, 先住, ～を避ける"
spinal,脊椎の,"逆に, 最も, ～を無視する"
susceptible,かかりやすい,"主に, 不可欠な, ～を忘れる"
mandatory,義務的な,"～しないように, 複雑な, ～を避ける"
upright,まっすぐに,"陽気な, 人口統計の, ～を無視する"
abruptly,不意に,"永続する, 強力な, ～を忘れる"
conversely,逆に,"脊椎の, 無傷の, ～を避ける"
predominantly,主に,"かかりやすい, 決意をしている, ～を無視する"
lest,～しないように,"義務的な, 興味深い, ～を忘れる"
decline,衰退する,繁栄する,維持する,増加する
deduce,推論する,想像する,否定する,忘れる
define,定義する,曖昧にする,混乱させる,無視する
definite,明確な,不確かな,些細な,複雑な
